Sentence,Word
,the
,gunmen
,stopped
,the
,supply
,boat
,Wednesday
,as
,it
,sailed
,from
,Delta
,State
,to
,Bayelsa
,State
,to
,inspect
,an
,offshore
,oil
,field
,owned
,by
,Royal-Dutch
,Shell
,.
Sentence: 16,The
,German
,firm
,works
,as
,a
,sub-contractor
,for
,Shell
,.
Sentence: 17,Militant
,groups
,frequently
,attack
,oil
,operations
,in
,the
,Niger
,Delta
,to
,demand
,social
,services
,and
,better
,job
,opportunities
,from
,multinational
,companies
,.
Sentence: 18,Poor
,residents
,often
,complain
,they
,have
,been
,cheated
,out
,of
,the
,huge
,riches
,extracted
,from
,their
,tribal
,lands
,-
,where
,the
,bulk
,of
,Nigeria
,'s
,2.3
,million
,barrels
,of
,petroleum
,are
,pumped
,daily
,.
Sentence: 19,Suspected
,Islamist
,rebels
,have
,fired
,mortar
,shells
,at
,the
,palace
,used
,by
,Somalia
,'s
,interim
,President
,Abdullahi
,Yusuf
,Ahmad
,.
Sentence: 20,It
,was
,not
,immediately
,clear
,if
,the
,president
,was
,in
,the
,palace
,in
,Mogadishu
,when
,the
,attack
,occurred
,or
,if
,anyone
,was
,hurt
,.
Sentence: 21,Local
,news
,reports
,said
,at
,least
,five
,mortar
,shells
,hit
,the
,palace
,compound
,and
,other
,mortars
,were
,fired
,elsewhere
,in
,Mogadishu
,Wednesday
,.
Sentence: 22,The
,attacks
,occurred
,after
,the
,government
,said
,it
,will
,go
,ahead
,with
,a
,reconciliation
,conference
,to
,which
,more
,than
,"1,300"
,Somali
,elders
,","
,warlords
,and
,politicians
,are
,invited
,.
Sentence: 23,Iraqi
,military
,officials
,say
,tanks
,and
,troops
,have
,arrived
,in
,the
,northern
,city
,Mosul
,for
,a
,new
,offensive
,against
,al
,Qaida
,in
,Iraq
,fighters
,.
Sentence: 24,Officials
,will
,not
,say
,how
,many
,troops
,have
,arrived
,in
,the
,Sunni
,Arab
,and
,Kurdish
,city
,","
,where
,bombings
,last
,week
,killed
,at
,least
,34
,people
,and
,wounded
,more
,than
,200
,.
Sentence: 25,U.S.
,commanders
,have
,not
,explained
,how
,American
,forces
,will
,participate
,in
,the
,offensive
,.
Sentence: 26,Officials
,say
,al
,Qaida
,in
,Iraq
,fighters
,have
,fled
,successful
,campaigns
,against
,them
,in
,Anbar
,province
,and
,Baghdad
,to
,other
,northern
,provinces
,.
Sentence: 27,Mosul
,is
,the
,largest
,city
,north
,of
,Baghdad
,and
,has
,long
,been
,a
,stronghold
,of
,Sunni
,militant
,fighters
,.
Sentence: 28,In
,other
,violence
,","
,U.S.
,officials
,said
,one
,American
,soldier
,was
,killed
,while
,on
,patrol
,in
,Baghdad
,Sunday
,.
Sentence: 29,Egyptian
,police
,have
,arrested
,at
,least
,16
,members
,of
,the
,opposition
,Muslim
,Brotherhood
,as
,parts
,of
,the
,country
,prepare
,for
,parliamentary
,runoff
,elections
,Saturday
,.
Sentence: 30,The
,arrests
,occurred
,Friday
,in
,Alexandria
,.
Sentence: 31,A
,spokesman
,for
,the
,Brotherhood
,said
,the
,arrests
,are
,an
,attempt
,to
,cut
,the
,Brotherhood
,off
,from
,its
,supporters
,and
,punishment
,for
,winning
,parliamentary
,seats
,in
,earlier
,elections
,.
Sentence: 32,The
,Muslim
,Brotherhood
,has
,tripled
,its
,strength
,in
,parliament
,in
,recent
,elections
,","
,raising
,the
,party
,'s
,total
,to
,47
,seats
,.
Sentence: 33,In
,Saturday
,'s
,elections
,","
,voters
,will
,cast
,ballots
,in
,nine
,provinces
,where
,no
,candidate
,won
,a
,majority
,in
,the
,previous
,round
,of
,voting
,.
Sentence: 34,The
,Muslim
,Brotherhood
,is
,banned
,as
,a
,political
,party
,","
,but
,it
,endorses
,so-called
,independent
,candidates
,whose
,allegiance
,to
,the
,party
,is
,known
,to
,voters
,.
Sentence: 35,Hardline
,lawmakers
,in
,Pakistan
,'s
,North
,West
,Frontier
,Province
,have
,pushed
,through
,a
,law
,that
,aims
,to
,ensure
,""""
,Islamic
,correctness
,""""
,in
,public
,places
,and
,establishes
,a
,morality
,police
,to
,enforce
,decent
,behavior
,.
Sentence: 36,A
,six-party
,coalition
,of
,religious
,based
,parties
,","
,the
,Mutahida
,Majlis-e-Amal
,","
,dominates
,the
,provincial
,assembly
,","
,so
,the
,bill
,was
,easily
,passed
,Thursday
,by
,a
,vote
,of
,68-34
,.
Sentence: 37,The
,provincial
,governor
,must
,still
,sign
,the
,bill
,before
,it
,becomes
,law
,","
,a
,step
,seen
,only
,as
,a
,formality
,.
Sentence: 38,The
,proposed
,law
,calls
,for
,setting
,up
,a
,""""
,religious
,police
,force
,""""
,to
,make
,sure
,people
,adhere
,to
,Islamic
,values
,in
,public
,places
,","
,and
,entertainment
,outlets
,close
,during
,weekly
,Friday
,prayers
,.
Sentence: 39,Violators
,could
,be
,jailed
,for
,up
,to
,six
,months
,.
Sentence: 40,The
,opposition
,has
,denounced
,the
,measure
,","
,comparing
,it
,to
,the
,draconian
,rule
,of
,the
,former
,Taleban
,in
,neighboring
,Afghanistan
,.
Sentence: 41,British
,police
,say
,they
,have
,arrested
,a
,man
,who
,dressed
,as
,suicide
,bomber
,at
,a
,demonstration
,against
,the
,publication
,of
,cartoons
,depicting
,Islam
,'s
,Prophet
,Muhammad
,.
Sentence: 42,Bedfordshire
,police
,said
,Tuesday
,that
,Omar
,Khayam
,was
,arrested
,in
,Bedford
,for
,breaching
,the
,conditions
,of
,his
,parole
,.
Sentence: 43,Police
,said
,the
,British
,Home
,Office
,sought
,an
,investigation
,of
,Khayam
,'s
,behavior
,after
,he
,was
,photographed
,last
,week
,at
,a
,demonstration
,dressed
,in
,fatigues
,","
,a
,black
,cap
,","
,and
,a
,bulky
,belt
,.
Sentence: 44,A
,Home
,Office
,spokesman
,told
,the
,Associated
,Press
,that
,if
,the
,behavior
,of
,a
,paroled
,offender
,gives
,cause
,for
,concern
,","
,he
,can
,be
,sent
,back
,to
,prison
,.
Sentence: 45,The
,AP
,also
,reports
,Khayam
,has
,been
,on
,parole
,from
,prison
,since
,last
,year
,after
,serving
,half
,his
,six-year
,sentence
,for
,drug
,dealing
,.
Sentence: 46,Pakistani
,officials
,say
,unidentified
,gunmen
,have
,killed
,three
,people
,","
,including
,a
,former
,government
,minister
,","
,in
,a
,semi-autonomous
,tribal
,region
,bordering
,Afghanistan
,.
Sentence: 47,The
,officials
,say
,prominent
,tribal
,leader
,Malik
,Faridullah
,Khan
,was
,traveling
,in
,South
,Waziristan
,Sunday
,when
,his
,vehicle
,was
,ambushed
,in
,the
,Kani
,Wam
,area
,.
Sentence: 48,His
,driver
,and
,a
,tribal
,elder
,were
,also
,killed
,.
Sentence: 49,No
,one
,has
,claimed
,responsibility
,for
,the
,killings
,.
Sentence: 50,The
,ambush
,came
,a
,day
,after
,a
,commander
,of
,Pakistani
,troops
,said
,the
,army
,has
,almost
,completely
,eliminated
,militants
,in
,South
,Waziristan
,.
Sentence: 51,The
,area
,became
,a
,refuge
,for
,many
,al-Qaida
,and
,Taleban
,fighters
,after
,the
,Taleban
,government
,was
,ousted
,in
,Afghanistan
,in
,2001
,.
Sentence: 52,A
,senior
,Pakistani
,military
,official
,says
,Pakistan
,wants
,to
,put
,what
,he
,calls
,the
,""""
,sordid
,chapter
,""""
,of
,proliferation
,by
,one
,of
,its
,top
,scientists
,behind
,it
,and
,build
,civilian
,nuclear
,ties
,with
,the
,United
,States
,.
Sentence: 53,But
,he
,says
,Pakistan
,is
,not
,ready
,to
,make
,the
,nuclear
,scientist
,","
,Abdul
,Qadeer
,Khan
,","
,available
,for
,direct
,questioning
,over
,his
,sale
,of
,nuclear
,parts
,and
,secrets
,to
,states
,including
,Iran
,","
,Libya
,and
,North
,Korea
,.
Sentence: 54,He
,said
,there
,are
,reasons
,of
,national
,sensitivities
,for
,not
,making
,him
,available
,.
Sentence: 55,The
,Pakistani
,official
,was
,giving
,a
,background
,briefing
,to
,a
,small
,group
,of
,reporters
,in
,Washington
,.
Sentence: 56,Khan
,admitted
,in
,2004
,that
,he
,operated
,a
,worldwide
,clandestine
,network
,to
,sell
,nuclear
,technology
,in
,the
,black
,market
,.
Sentence: 57,He
,was
,placed
,under
,house
,arrest
,in
,Islamabad
,","
,but
,not
,jailed
,because
,he
,is
,considered
,the
,father
,of
,Pakistan
,'s
,nuclear
,bomb
,.
Sentence: 58,U.S.
,Army
,officials
,said
,Wednesday
,that
,they
,will
,not
,renew
,a
,controversial
,multi-billion
,dollar
,contract
,with
,the
,Halliburton
,company
,to
,provide
,logistical
,support
,to
,U.S.
,troops
,in
,Iraq
,and
,elsewhere
,.
Sentence: 59,Halliburton
,has
,been
,providing
,a
,long
,list
,of
,services
,","
,from
,meals
,to
,communication
,","
,for
,the
,military
,for
,several
,years
,.
Sentence: 60,Critics
,of
,Halliburton
,include
,auditors
,and
,congressional
,Democrats
,.
Sentence: 61,They
,say
,the
,company
,has
,produced
,some
,shoddy
,work
,and
,charges
,too
,much
,money
,.
Sentence: 62,The
,company
,strongly
,denies
,the
,allegations
,.
Sentence: 63,When
,the
,huge
,contract
,is
,put
,out
,for
,re-bidding
,","
,several
,companies
,will
,get
,a
,chance
,to
,compete
,for
,portions
,of
,the
,work
,.
Sentence: 64,Representatives
,from
,the
,Asia
,Pacific
,Economic
,Cooperation
,Business
,Advisory
,Council
,are
,holding
,meetings
,this
,week
,to
,finalize
,their
,annual
,report
,for
,APEC
,leaders
,who
,will
,hold
,a
,summit
,on
,September
,8
,and
,9
,.
Sentence: 65,VOA
,'s
,Nancy-Amelia
,Collins
,reports
,from
,Sydney
,.
Sentence: 66,Energy
,","
,security
,","
,climate
,change
,","
,the
,World
,Trade
,Organization
,'s
,stalled
,negotiations
,","
,and
,investment
,are
,all
,expected
,to
,be
,among
,the
,major
,topics
,in
,the
,annual
,report
,of
,the
,APEC
,Business
,Advisory
,Council
,","
,known
,as
,ABAC
,.
Sentence: 67,Tim
,Harcourt
,","
,the
,chief
,economist
,of
,the
,Australian
,Trade
,Commission
,","
,says
,ABAC
,plays
,an
,important
,role
,by
,informing
,governments
,where
,there
,are
,problems
,.
Sentence: 68,""""
,The
,most
,important
,thing
,the
,business
,groups
,can
,do
,is
,to
,tell
,the
,governments
,where
,there
,are
,logjams
,","
,where
,there
,are
,obstacles
,","
,where
,things
,can
,improve
,","
,""""
,Harcourt
,said
,.
Sentence: 69,""""
,I
,think
,actually
,ABAC
,has
,played
,a
,pretty
,good
,leadership
,on
,that
,in
,talking
,about
,trade
,facilitation
,and
,basically
,making
,sure
,standards
,are
,consistent
,and
,harmonious
,across
,the
,region
,.
,""""
Sentence: 70,ABAC
,comprises
,up
,to
,three
,members
,of
,the
,private
,sector
,of
,each
,of
,the
,21
,economies
,that
,make
,up
,APEC
,.
Sentence: 71,It
,meets
,three
,times
,a
,year
,.
Sentence: 72,It
,was
,made
,a
,permanent
,body
,in
,1995
,to
,provide
,an
,independent
,business
,perspective
,within
,APEC
,.
Sentence: 73,Members
,represent
,a
,range
,of
,business
,sectors
,","
,including
,medium
,and
,small
,businesses
,.
Sentence: 74,ABAC
,says
,there
,is
,a
,need
,for
,businesses
,to
,improve
,energy
,efficiency
,and
,to
,encourage
,conservation
,practices
,","
,and
,is
,expected
,to
,include
,this
,in
,its
,annual
,report
,.
Sentence: 75,Harcourt
,","
,of
,the
,Australian
,Trade
,Commission
,","
,says
,the
,ABAC
,report
,will
,also
,discuss
,ways
,to
,enhance
,regional
,cooperation
,.
Sentence: 76,""""
,I
,reckon
,they
,'ll
,talk
,a
,little
,bit
,about
,customs
,and
,quarantine
,","
,a
,little
,bit
,about
,having
,consistent
,security
,arrangements
,around
,the
,region
,","
,""""
,Harcourt
,said
,.
Sentence: 77,""""
,And
,I
,think
,they
,'ll
,want
,a
,one-stop
,shop
,in
,terms
,of
,combining
,security
,","
,immigration
,","
,customs
,","
,and
,quarantine
,together
,…
,just
,to
,make
,sure
,it
,'s
,more
,streamlined
,and
,provides
,more
,certainty
,.
,""""
Sentence: 78,ABAC
,is
,the
,only
,non-governmental
,body
,that
,has
,an
,official
,role
,and
,formal
,dialogue
,with
,the
,leaders
,of
,the
,APEC
,economies
,.
Sentence: 79,It
,will
,present
,its
,annual
,report
,at
,the
,APEC
,leaders
,meeting
,on
,Saturday
,.
Sentence: 80,Sudan
,'s
,government
,says
,it
,will
,order
,troops
,to
,end
,attacks
,immediately
,in
,Darfur
,","
,and
,is
,asking
,rebels
,to
,do
,the
,same
,.
Sentence: 81,Foreign
,Minister
,Mustafa
,Osman
,Ismail
,says
,Sudanese
,troops
,will
,also
,withdraw
,to
,positions
,held
,before
,an
,April
,cease-fire
,","
,if
,rebels
,in
,the
,western
,region
,agree
,to
,stop
,attacks
,.
Sentence: 82,Mr.
,Ismail
,announced
,the
,decision
,after
,meeting
,with
,officials
,from
,the
,United
,Nations
,and
,African
,Union
,in
,Khartoum
,Sunday
,.
Sentence: 83,In
,recent
,weeks
,","
,AU
,officials
,say
,Sudanese
,troops
,and
,rebels
,have
,repeatedly
,violated
,the
,April
,truce
,.
Sentence: 84,Saturday
,","
,the
,head
,of
,AU
,forces
,in
,Darfur
,accused
,Sudanese
,government
,helicopters
,of
,bombing
,rebel
,sites
,in
,the
,South
,Darfur
,village
,of
,Labado
,.
Sentence: 85,Khartoum
,says
,troops
,were
,defending
,their
,positions
,from
,rebel
,attacks
,.
Sentence: 86,Aid
,workers
,say
,some
,relief
,efforts
,have
,been
,suspended
,in
,South
,Darfur
,due
,to
,recent
,attacks
,.
Sentence: 87,Indonesian
,police
,have
,arrested
,three
,men
,in
,connection
,with
,the
,October
,1
,Bali
,bombings
,that
,left
,23
,people
,dead
,.
Sentence: 88,Indonesian
,police
,said
,Wednesday
,the
,men
,were
,flown
,to
,Bali
,from
,neighboring
,Java
,island
,for
,questioning
,at
,Bali
,police
,headquarters
,.
Sentence: 89,Australian
,and
,French
,news
,agencies
,say
,at
,least
,one
,of
,the
,men
,arrested
,(
,Cholily
,)
,was
,captured
,during
,a
,series
,of
,counter-terrorism
,raids
,last
,week
,in
,Indonesia
,.
Sentence: 90,The
,raids
,ended
,with
,the
,death
,of
,alleged
,extremist
,bombmaker
,Azahari
,bin
,Husin
,.
Sentence: 91,Indonesian
,authorities
,blame
,Azahari
,bin
,Husin
,for
,orchestrating
,last
,month
,'s
,attacks
,in
,Bali
,as
,well
,as
,the
,2002
,Bali
,bombings
,that
,killed
,more
,than
,200
,people
,.
Sentence: 92,Gunmen
,have
,shot
,and
,killed
,a
,Roman
,Catholic
,nun
,and
,her
,bodyguard
,at
,the
,hospital
,where
,she
,worked
,in
,Islamist-controlled
,Mogadishu
,","
,Somalia
,.
Sentence: 93,Some
,witnesses
,to
,the
,Sunday
,shooting
,said
,they
,feared
,the
,attack
,was
,linked
,to
,Muslim
,anger
,toward
,Pope
,Benedict
,.
Sentence: 94,Two
,men
,with
,pistols
,attacked
,the
,nun
,","
,Sister
,Leonella
,Sgorbati
,","
,after
,she
,finished
,teaching
,a
,medical
,school
,class
,at
,the
,hospital
,in
,southern
,Mogadishu
,.
Sentence: 95,Officials
,say
,one
,suspect
,was
,arrested
,.
Sentence: 96,In
,Rome
,","
,a
,Vatican
,spokesman
,deplored
,the
,attack
,and
,said
,he
,hoped
,it
,was
,an
,isolated
,event
,","
,and
,not
,irrationality
,arising
,from
,comments
,made
,by
,the
,Pope
,which
,angered
,some
,Muslims
,.
Sentence: 97,Authorities
,in
,Mogadishu
,have
,not
,determined
,a
,motive
,for
,the
,shooting
,.
Sentence: 98,The
,pope
,has
,said
,he
,meant
,no
,offense
,to
,Muslims
,when
,he
,quoted
,a
,14
,century
,Byzantine
,emperor
,as
,saying
,some
,teachings
,of
,the
,Prophet
,Muhammed
,brought
,evil
,to
,the
,world
,.
Sentence: 99,Pakistani
,forces
,have
,targeted
,militants
,in
,the
,northwest
,for
,a
,third
,day
,","
,launching
,airstrikes
,that
,they
,say
,killed
,at
,least
,nine
,suspected
,insurgents
,.
Sentence: 100,Helicopter
,gunships
,Saturday
,pounded
,militant
,hideouts
,in
,the
,Orakzai
,tribal
,region
,","
,where
,many
,Taliban
,militants
,are
,believed
,to
,have
,fled
,to
,avoid
,an
,earlier
,military
,offensive
,in
,nearby
,South
,Waziristan
,.
Sentence: 101,The
,Pakistani
,military
,launched
,its
,offensive
,in
,Orakzai
,to
,hunt
,Taliban
,insurgents
,.
Sentence: 102,So
,far
,","
,nearly
,100
,militants
,have
,been
,reported
,killed
,in
,the
,region
,since
,Thursday
,.
Sentence: 103,On
,Friday
,","
,five
,soldiers
,were
,killed
,when
,dozens
,of
,militants
,stormed
,a
,military
,checkpoint
,in
,Orakzai
,.
Sentence: 104,At
,least
,32
,suspected
,militants
,were
,killed
,when
,troops
,launched
,a
,counter-attack
,.
Sentence: 105,Elsewhere
,in
,the
,northwest
,","
,authorities
,on
,Saturday
,found
,the
,bodies
,of
,six
,people
,who
,had
,been
,shot
,dead
,in
,the
,Kurram
,region
,along
,the
,Afghan
,border
,.
Sentence: 106,The
,six
,were
,kidnapped
,a
,few
,days
,ago
,.
Sentence: 107,The
,U.S.
,military
,in
,Afghanistan
,says
,coalition
,forces
,killed
,14
,Taleban
,militants
,in
,separate
,clashes
,this
,week
,.
Sentence: 108,The
,military
,said
,Saturday
,13
,guerrillas
,were
,killed
,in
,two
,encounters
,in
,the
,central
,province
,of
,Uruzgan
,.
Sentence: 109,One
,Afghan
,soldier
,was
,killed
,and
,four
,others
,","
,including
,a
,U.S.
,soldier
,","
,were
,injured
,in
,the
,fighting
,.
Sentence: 110,Another
,militant
,was
,killed
,by
,U.S.
,troops
,in
,eastern
,Paktika
,province
,.
Sentence: 111,Separately
,","
,officials
,say
,four
,British
,soldiers
,from
,the
,NATO-led
,peacekeeping
,mission
,were
,wounded
,early
,Saturday
,in
,an
,attack
,in
,the
,northern
,city
,of
,Mazar-e-Sharif
,.
Sentence: 112,It
,was
,not
,immediately
,clear
,what
,motivated
,the
,attack
,.
Sentence: 113,Taleban
,rebels
,are
,not
,known
,to
,operate
,in
,northern
,Afghanistan
,and
,the
,area
,has
,been
,spared
,much
,of
,the
,bloodshed
,that
,has
,plagued
,southern
,and
,eastern
,regions
,.
Sentence: 114,Russian
,officials
,say
,at
,least
,five
,more
,people
,have
,died
,from
,a
,wave
,of
,extremely
,cold
,weather
,gripping
,the
,nation
,","
,bringing
,the
,death
,toll
,to
,43
,in
,the
,past
,week
,.
Sentence: 115,Emergency
,medical
,officials
,say
,the
,five
,victims
,died
,in
,Moscow
,from
,exposure
,","
,and
,another
,19
,people
,are
,hospitalized
,with
,hypothermia
,.
Sentence: 116,Russia
,'s
,Itar-Tass
,news
,agency
,quotes
,a
,medical
,official
,as
,saying
,some
,of
,the
,victims
,were
,intoxicated
,or
,homeless
,.
Sentence: 117,The
,unusually
,cold
,weather
,is
,affecting
,Russia
,","
,the
,Baltic
,states
,of
,Lithuania
,","
,Latvia
,and
,Estonia
,","
,and
,is
,moving
,into
,the
,Nordic
,countries
,.
Sentence: 118,The
,death
,toll
,is
,expected
,to
,rise
,as
,temperatures
,continue
,to
,hover
,around
,minus
,30
,degrees
,Celsius
,or
,lower
,overnight
,.
Sentence: 119,Emergency
,power
,rationing
,has
,been
,put
,into
,effect
,around
,Moscow
,.
Sentence: 120,Health
,officials
,in
,Vietnam
,say
,a
,deadly
,strain
,of
,the
,bird
,flu
,virus
,has
,killed
,a
,second
,Vietnamese
,man
,this
,week
,","
,raising
,the
,country
,'s
,death
,toll
,from
,the
,virus
,to
,50
,.
Sentence: 121,Officials
,say
,the
,27-year
,old
,man
,from
,Vietnam
,'s
,northern
,Ninh
,Binh
,province
,died
,late
,Thursday
,and
,tested
,positive
,for
,the
,H5N1
,strain
,of
,bird
,flu
,.
Sentence: 122,Officials
,say
,the
,man
,fell
,ill
,after
,slaughtering
,two
,chickens
,at
,his
,home
,.
Sentence: 123,He
,is
,the
,third
,person
,to
,die
,from
,avian
,influenza
,in
,Vietnam
,this
,year
,.
Sentence: 124,Not
,counting
,the
,latest
,death
,","
,the
,World
,Health
,Organization
,says
,227
,people
,around
,the
,world
,have
,died
,from
,bird
,flu
,since
,2003
,.
Sentence: 125,Most
,of
,the
,world
,'s
,cases
,","
,103
,","
,have
,occurred
,in
,Indonesia
,.
Sentence: 126,Witnesses
,in
,Somalia
,say
,insurgents
,have
,burned
,and
,dragged
,the
,bodies
,of
,at
,least
,two
,soldiers
,through
,the
,streets
,of
,Mogadishu
,","
,after
,a
,clash
,between
,militants
,and
,Ethiopian
,forces
,killed
,seven
,people
,.
Sentence: 127,The
,violence
,erupted
,Wednesday
,after
,insurgents
,attacked
,Ethiopian
,tanks
,rolling
,through
,an
,insurgent
,stronghold
,near
,the
,headquarters
,of
,the
,former
,Defense
,Ministry
,in
,southern
,Mogadishu
,.
Sentence: 128,Witnesses
,say
,the
,Ethiopian
,troops
,returned
,heavy
,fire
,and
,that
,several
,people
,were
,wounded
,in
,the
,fighting
,.
Sentence: 129,Ethiopia
,deployed
,soldiers
,to
,Somalia
,last
,December
,to
,help
,the
,interim
,government
,push
,an
,Islamist
,movement
,from
,power
,.
Sentence: 130,Somalia
,'s
,internationally-recognized
,government
,has
,since
,been
,struggling
,to
,contain
,regular
,outbursts
,of
,violence
,by
,fighters
,loyal
,to
,the
,fallen
,Islamist
,movement
,.
Sentence: 131,The
,African
,Union
,has
,deployed
,troops
,to
,Somalia
,to
,replace
,the
,Ethiopian
,forces
,","
,which
,Addis
,Ababa
,plans
,to
,withdraw
,.
Sentence: 132,Top
,Palestinian
,negotiator
,Ahmed
,Qureia
,says
,Israeli
,and
,Palestinian
,mediators
,have
,agreed
,to
,prepare
,a
,document
,outlining
,their
,progress
,toward
,a
,peace
,accord
,.
Sentence: 133,In
,remarks
,to
,reporters
,","
,Qureia
,said
,the
,two
,sides
,agreed
,during
,recent
,meetings
,to
,begin
,writing
,out
,their
,positions
,on
,all
,issues
,discussed
,during
,peace
,negotiations
,.
Sentence: 134,He
,did
,not
,elaborate
,on
,why
,negotiators
,had
,come
,to
,the
,decision
,.
Sentence: 135,Israeli
,Prime
,Minister
,Ehud
,Olmert
,and
,Palestinian
,President
,Mahmoud
,Abbas
,resumed
,U.S.-brokered
,peace
,talks
,last
,November
,","
,but
,progress
,has
,been
,slow
,.
Sentence: 136,The
,two
,sides
,have
,expressed
,hope
,at
,reaching
,a
,peace
,deal
,before
,U.S.
,President
,George
,Bush
,leaves
,office
,early
,next
,year
,.
Sentence: 137,But
,Qureia
,said
,Wednesday
,that
,reaching
,a
,peace
,agreement
,with
,Israel
,before
,Mr.
,Bush
,leaves
,office
,will
,take
,a
,""""
,miracle
,.
,""""
Sentence: 138,He
,told
,reporters
,in
,the
,West
,Bank
,that
,there
,is
,still
,room
,for
,progress
,in
,Israeli-Palestinian
,negotiations
,.
Sentence: 139,The
,Israeli
,military
,says
,Major
,General
,Udi
,Adam
,-
,the
,head
,of
,the
,army
,'s
,Northern
,Command
,-
,has
,announced
,his
,resignation
,.
Sentence: 140,A
,military
,statement
,Wednesday
,","
,said
,General
,Adam
,has
,asked
,to
,leave
,his
,post
,""""
,as
,soon
,as
,possible
,","
,""""
,and
,the
,chief
,of
,staff
,has
,accepted
,the
,request
,to
,begin
,the
,process
,of
,his
,replacement
,.
Sentence: 141,Adam
,was
,widely
,expected
,to
,leave
,the
,army
,after
,he
,was
,pushed
,aside
,near
,the
,end
,of
,the
,34-day
,war
,against
,Hezbollah
,guerrillas
,in
,Lebanon
,.
Sentence: 142,He
,was
,replaced
,by
,another
,general
,as
,""""
,coordinator
,of
,operations
,in
,Lebanon
,.
,""""
Sentence: 143,Israeli
,media
,say
,Adam
,had
,several
,disagreements
,with
,the
,army
,chief
,","
,Lieutenant
,General
,Dan
,Halutz
,","
,over
,the
,conduct
,of
,the
,war
,.
Sentence: 144,A
,Washington-based
,research
,institute
,says
,Pakistan
,is
,building
,a
,nuclear
,reactor
,that
,could
,produce
,enough
,plutonium
,for
,40
,to
,50
,nuclear
,weapons
,a
,year
,.
Sentence: 145,The
,Institute
,for
,Science
,and
,International
,Security
,reports
,that
,satellite
,photos
,show
,a
,possible
,construction
,site
,for
,a
,larger
,nuclear
,reactor
,near
,the
,small
,one
,in
,the
,Khushab
,district
,of
,Punjab
,province
,.
Sentence: 146,The
,report
,says
,such
,a
,reactor
,could
,produce
,over
,200
,kilograms
,of
,weapons-grade
,plutonium
,","
,good
,for
,40
,to
,50
,nuclear
,weapons
,a
,year
,.
Sentence: 147,According
,to
,some
,media
,reports
,","
,Pakistan
,is
,now
,capable
,of
,producing
,plutonium
,for
,just
,two
,warheads
,a
,year
,.
Sentence: 148,Pakistan
,'s
,Foreign
,Ministry
,spokeswoman
,Tasnim
,Aslam
,declined
,to
,say
,whether
,a
,new
,reactor
,is
,being
,constructed
,","
,but
,she
,said
,the
,presence
